@relation avaliation

@attribute topografia {aclive, declive, plano, irregular}
@attribute utilizacao {residencial, comercial, terreno}
@attribute conservacao {otimo, bom, regular, mau}
@attribute esgoto {sim, nao}
@attribute preco {ruim, bom, otimo}
@attribute distanciaUTFPR {ruim, bom, otimo}
@attribute distanciaPracaCentral {ruim, bom, otimo}
@attribute pavimentacao {poliedrico, asfalto, irregular}
@attribute accessToHealth {ruim, bom, otimo}
@attribute securityLevel {ruim, bom, otimo}
@attribute firefighter {ruim, bom, otimo}
@attribute internetOptions {ruim, bom, otimo}
@attribute operatorSignal {ruim, bom, otimo}
@attribute leisureArea {ruim, bom, otimo}
@attribute mobility {ruim, bom, otimo}
@attribute location {ruim, bom, otimo}
@attribute supplyAndDemand {ruim, bom, otimo}
@attribute consumePower {baixo, medio, alto}

@data
declive, comercial, regular, sim, bom, bom, otimo, irregular, bom, bom, ruim, bom, otimo, bom, ruim, ruim, bom, alto
plano, comercial, otimo, nao, otimo, bom, otimo, asfalto, ruim, bom, otimo, otimo, ruim, ruim, otimo, bom, otimo, alto
declive, comercial, otimo, sim, bom, bom, bom, poliedrico, ruim, ruim, ruim, otimo, bom, bom, ruim, bom, otimo, alto
aclive, comercial, mau, sim, bom, bom, otimo, asfalto, otimo, otimo, ruim, otimo, ruim, ruim, ruim, otimo, bom, baixo
declive, residencial, regular, sim, otimo, otimo, otimo, asfalto, otimo, ruim, otimo, bom, bom, otimo, otimo, bom, otimo, alto
declive, terreno, regular, nao, bom, otimo, ruim, asfalto, ruim, bom, ruim, otimo, bom, ruim, bom, ruim, otimo, alto
aclive, residencial, otimo, nao, bom, bom, otimo, irregular, bom, ruim, ruim, otimo, ruim, bom, bom, ruim, bom, baixo
aclive, terreno, regular, nao, bom, bom, otimo, irregular, otimo, bom, ruim, bom, ruim, bom, bom, bom, bom, medio
plano, terreno, mau, sim, bom, bom, bom, poliedrico, bom, ruim, ruim, otimo, otimo, ruim, bom, ruim, otimo, alto
plano, comercial, regular, sim, bom, bom, bom, poliedrico, otimo, ruim, ruim, ruim, bom, bom, bom, ruim, bom, baixo
irregular, residencial, bom, sim, bom, otimo, bom, poliedrico, ruim, otimo, otimo, otimo, ruim, ruim, ruim, ruim, bom, alto
aclive, residencial, bom, sim, bom, otimo, ruim, poliedrico, ruim, bom, ruim, bom, otimo, otimo, bom, bom, bom, medio
irregular, comercial, otimo, sim, otimo, otimo, bom, asfalto, otimo, otimo, otimo, otimo, otimo, bom, bom, ruim, otimo, alto
irregular, comercial, regular, sim, bom, ruim, bom, irregular, ruim, bom, bom, otimo, otimo, ruim, bom, bom, bom, medio
aclive, terreno, otimo, nao, bom, ruim, ruim, asfalto, ruim, bom, ruim, otimo, ruim, bom, bom, ruim, bom, alto
aclive, terreno, mau, nao, bom, bom, bom, poliedrico, otimo, otimo, bom, otimo, bom, otimo, ruim, ruim, bom, alto
irregular, terreno, mau, nao, bom, bom, ruim, asfalto, bom, bom, bom, ruim, ruim, otimo, ruim, bom, bom, baixo
declive, residencial, otimo, nao, ruim, ruim, otimo, irregular, otimo, ruim, bom, bom, ruim, bom, ruim, ruim, ruim, baixo
irregular, terreno, mau, sim, otimo, otimo, otimo, poliedrico, ruim, ruim, otimo, otimo, ruim, ruim, otimo, otimo, otimo, medio
aclive, comercial, regular, sim, bom, ruim, bom, poliedrico, otimo, bom, otimo, otimo, bom, ruim, ruim, otimo, bom, medio
irregular, residencial, mau, nao, bom, ruim, otimo, poliedrico, bom, bom, ruim, ruim, bom, otimo, ruim, ruim, bom, alto
declive, terreno, regular, nao, bom, bom, otimo, poliedrico, bom, otimo, bom, ruim, ruim, ruim, bom, ruim, bom, baixo
aclive, residencial, bom, sim, bom, ruim, otimo, irregular, bom, otimo, otimo, bom, otimo, bom, otimo, ruim, bom, baixo
aclive, residencial, regular, sim, bom, otimo, ruim, poliedrico, otimo, bom, bom, ruim, bom, otimo, otimo, bom, bom, baixo
plano, comercial, mau, sim, otimo, otimo, bom, asfalto, otimo, otimo, otimo, bom, bom, otimo, otimo, bom, otimo, alto
irregular, terreno, regular, nao, otimo, bom, otimo, asfalto, bom, bom, bom, ruim, otimo, ruim, bom, otimo, otimo, medio
irregular, residencial, mau, sim, bom, bom, otimo, asfalto, bom, ruim, bom, bom, ruim, otimo, ruim, otimo, bom, medio
declive, residencial, bom, nao, bom, bom, otimo, asfalto, ruim, ruim, bom, bom, otimo, ruim, otimo, otimo, bom, baixo
irregular, comercial, bom, sim, bom, otimo, ruim, asfalto, otimo, ruim, ruim, otimo, ruim, bom, ruim, bom, bom, baixo
plano, comercial, regular, sim, bom, bom, otimo, asfalto, otimo, bom, bom, ruim, otimo, bom, bom, ruim, bom, baixo
plano, terreno, regular, nao, bom, otimo, otimo, irregular, bom, bom, otimo, ruim, ruim, ruim, bom, otimo, bom, medio
declive, residencial, regular, nao, bom, bom, otimo, asfalto, ruim, otimo, bom, otimo, ruim, ruim, bom, bom, bom, baixo
aclive, residencial, otimo, nao, bom, otimo, bom, irregular, otimo, otimo, bom, otimo, otimo, ruim, bom, bom, bom, baixo
declive, comercial, otimo, sim, otimo, bom, bom, asfalto, otimo, ruim, bom, ruim, ruim, ruim, ruim, bom, otimo, alto
aclive, residencial, bom, sim, bom, otimo, otimo, poliedrico, bom, otimo, bom, otimo, bom, ruim, otimo, ruim, bom, medio
plano, residencial, bom, nao, bom, otimo, bom, poliedrico, ruim, bom, otimo, bom, bom, bom, ruim, bom, bom, baixo
declive, terreno, bom, nao, bom, otimo, otimo, irregular, ruim, bom, bom, bom, otimo, otimo, bom, otimo, otimo, alto
plano, terreno, otimo, nao, bom, bom, bom, asfalto, ruim, ruim, ruim, otimo, ruim, bom, otimo, bom, bom, baixo
irregular, residencial, bom, nao, bom, bom, otimo, irregular, bom, ruim, bom, otimo, ruim, bom, ruim, bom, bom, medio
irregular, residencial, bom, nao, bom, ruim, bom, poliedrico, otimo, ruim, otimo, otimo, ruim, ruim, ruim, bom, bom, medio
declive, comercial, otimo, sim, bom, bom, bom, poliedrico, bom, otimo, bom, otimo, otimo, bom, bom, ruim, otimo, alto
declive, comercial, bom, nao, bom, otimo, ruim, poliedrico, bom, ruim, bom, ruim, ruim, otimo, otimo, bom, bom, baixo
plano, comercial, mau, sim, bom, ruim, bom, asfalto, ruim, otimo, bom, bom, otimo, bom, ruim, otimo, bom, medio
plano, residencial, bom, nao, bom, ruim, bom, asfalto, ruim, ruim, otimo, bom, ruim, otimo, bom, otimo, bom, medio
aclive, comercial, bom, nao, bom, otimo, otimo, asfalto, otimo, otimo, otimo, otimo, otimo, otimo, otimo, bom, bom, baixo
declive, comercial, bom, sim, bom, bom, otimo, irregular, ruim, bom, ruim, otimo, ruim, ruim, bom, ruim, bom, alto
plano, comercial, regular, nao, bom, bom, otimo, irregular, bom, otimo, bom, ruim, otimo, ruim, bom, bom, bom, baixo
irregular, residencial, otimo, sim, bom, bom, otimo, poliedrico, ruim, bom, ruim, otimo, ruim, ruim, ruim, bom, bom, medio
plano, comercial, otimo, nao, bom, ruim, otimo, asfalto, ruim, bom, bom, bom, ruim, ruim, bom, bom, bom, medio
irregular, comercial, regular, sim, otimo, otimo, bom, irregular, otimo, bom, ruim, ruim, bom, bom, otimo, bom, otimo, alto
declive, comercial, mau, sim, bom, ruim, ruim, asfalto, otimo, bom, otimo, ruim, otimo, bom, ruim, bom, bom, medio
irregular, comercial, regular, sim, bom, ruim, ruim, asfalto, ruim, bom, otimo, otimo, bom, otimo, bom, bom, bom, medio
declive, comercial, mau, sim, bom, otimo, ruim, poliedrico, bom, otimo, bom, otimo, otimo, ruim, otimo, ruim, bom, baixo
irregular, comercial, otimo, sim, otimo, otimo, bom, asfalto, ruim, ruim, bom, ruim, ruim, otimo, ruim, bom, bom, baixo
aclive, terreno, mau, sim, bom, bom, ruim, poliedrico, bom, otimo, otimo, otimo, bom, ruim, bom, ruim, bom, medio
declive, comercial, mau, sim, bom, bom, ruim, poliedrico, otimo, ruim, ruim, ruim, otimo, otimo, otimo, otimo, bom, medio
plano, residencial, regular, sim, otimo, otimo, bom, asfalto, ruim, ruim, otimo, bom, bom, otimo, otimo, otimo, bom, medio
plano, comercial, regular, sim, otimo, otimo, otimo, asfalto, otimo, bom, bom, otimo, bom, otimo, ruim, bom, otimo, alto
aclive, residencial, otimo, sim, otimo, otimo, otimo, asfalto, bom, ruim, ruim, ruim, otimo, otimo, ruim, bom, otimo, alto
aclive, terreno, mau, nao, bom, ruim, ruim, asfalto, otimo, ruim, ruim, ruim, otimo, ruim, bom, bom, bom, baixo
plano, comercial, mau, sim, bom, bom, otimo, poliedrico, otimo, otimo, bom, ruim, ruim, ruim, bom, ruim, bom, medio
plano, terreno, regular, sim, bom, otimo, ruim, poliedrico, ruim, otimo, ruim, otimo, otimo, bom, otimo, ruim, otimo, medio
aclive, terreno, regular, sim, bom, otimo, otimo, irregular, ruim, bom, bom, bom, ruim, bom, otimo, bom, bom, baixo
plano, comercial, regular, sim, bom, otimo, ruim, irregular, otimo, ruim, ruim, bom, bom, ruim, ruim, bom, bom, baixo
plano, residencial, mau, nao, bom, ruim, otimo, asfalto, bom, bom, bom, bom, bom, ruim, bom, bom, bom, medio
irregular, residencial, bom, nao, bom, otimo, ruim, irregular, ruim, ruim, otimo, otimo, otimo, ruim, otimo, bom, bom, medio
aclive, comercial, regular, sim, bom, bom, otimo, irregular, bom, otimo, otimo, otimo, bom, otimo, ruim, ruim, bom, baixo
declive, comercial, bom, nao, bom, otimo, ruim, asfalto, bom, bom, otimo, otimo, ruim, bom, bom, ruim, bom, medio
aclive, terreno, otimo, nao, bom, ruim, bom, irregular, bom, ruim, otimo, bom, otimo, ruim, ruim, otimo, bom, medio
plano, comercial, mau, nao, bom, bom, ruim, poliedrico, ruim, bom, ruim, otimo, otimo, ruim, otimo, bom, bom, alto
aclive, comercial, mau, nao, bom, otimo, bom, asfalto, ruim, ruim, ruim, ruim, otimo, bom, bom, ruim, bom, alto
irregular, comercial, regular, sim, bom, otimo, otimo, irregular, otimo, bom, otimo, bom, ruim, ruim, otimo, ruim, bom, medio
plano, comercial, bom, nao, bom, ruim, ruim, asfalto, ruim, otimo, otimo, bom, bom, otimo, ruim, ruim, bom, alto
plano, residencial, mau, nao, bom, bom, otimo, poliedrico, ruim, ruim, bom, ruim, bom, otimo, bom, ruim, bom, alto
plano, comercial, mau, sim, bom, ruim, otimo, poliedrico, otimo, otimo, ruim, otimo, otimo, bom, ruim, bom, bom, medio
declive, comercial, mau, sim, bom, bom, otimo, asfalto, bom, bom, bom, bom, otimo, bom, bom, bom, otimo, alto
declive, terreno, regular, nao, bom, otimo, bom, irregular, otimo, otimo, bom, otimo, bom, ruim, otimo, bom, bom, baixo
declive, terreno, otimo, sim, otimo, ruim, bom, asfalto, bom, bom, ruim, otimo, ruim, otimo, otimo, bom, otimo, medio
declive, residencial, bom, nao, ruim, ruim, bom, irregular, bom, otimo, bom, bom, otimo, bom, ruim, ruim, ruim, baixo
plano, residencial, mau, sim, bom, otimo, bom, irregular, otimo, bom, bom, ruim, ruim, ruim, bom, bom, bom, baixo
irregular, terreno, regular, nao, bom, otimo, otimo, irregular, otimo, ruim, ruim, bom, bom, ruim, otimo, otimo, bom, medio
declive, comercial, mau, nao, ruim, ruim, ruim, irregular, bom, bom, ruim, ruim, otimo, bom, ruim, bom, bom, alto
irregular, residencial, regular, nao, bom, ruim, otimo, asfalto, otimo, ruim, otimo, ruim, ruim, ruim, bom, bom, bom, baixo
aclive, terreno, regular, sim, bom, ruim, otimo, irregular, bom, ruim, ruim, otimo, ruim, ruim, otimo, bom, otimo, alto
aclive, comercial, mau, sim, bom, ruim, otimo, asfalto, otimo, otimo, bom, ruim, otimo, bom, bom, ruim, bom, baixo
irregular, terreno, mau, nao, bom, ruim, ruim, asfalto, ruim, bom, bom, bom, ruim, otimo, bom, ruim, otimo, alto
aclive, terreno, otimo, sim, otimo, ruim, otimo, asfalto, otimo, otimo, otimo, ruim, otimo, ruim, bom, bom, otimo, alto
aclive, terreno, otimo, sim, bom, bom, bom, irregular, bom, bom, bom, ruim, bom, otimo, otimo, otimo, bom, baixo
plano, residencial, otimo, nao, bom, otimo, bom, irregular, ruim, otimo, ruim, otimo, ruim, bom, otimo, ruim, bom, medio
declive, comercial, mau, nao, bom, ruim, otimo, irregular, otimo, bom, bom, bom, ruim, ruim, bom, bom, bom, baixo
aclive, comercial, regular, nao, bom, bom, ruim, poliedrico, bom, ruim, ruim, ruim, otimo, otimo, otimo, otimo, bom, alto
aclive, comercial, bom, nao, bom, ruim, otimo, irregular, otimo, ruim, ruim, ruim, otimo, bom, otimo, ruim, bom, alto
declive, terreno, mau, sim, bom, otimo, bom, poliedrico, otimo, ruim, bom, otimo, ruim, otimo, ruim, otimo, otimo, alto
irregular, residencial, regular, sim, bom, ruim, ruim, poliedrico, otimo, otimo, bom, otimo, otimo, ruim, bom, otimo, otimo, alto
declive, terreno, otimo, sim, bom, otimo, otimo, irregular, ruim, ruim, bom, ruim, ruim, otimo, ruim, ruim, bom, medio
plano, comercial, otimo, sim, otimo, otimo, otimo, poliedrico, bom, bom, ruim, bom, otimo, bom, bom, bom, otimo, medio
irregular, comercial, bom, sim, otimo, bom, bom, asfalto, bom, otimo, otimo, bom, bom, ruim, bom, ruim, otimo, alto
plano, terreno, otimo, sim, bom, otimo, ruim, poliedrico, bom, bom, ruim, ruim, otimo, otimo, ruim, ruim, bom, baixo
aclive, comercial, otimo, nao, bom, bom, otimo, irregular, otimo, bom, ruim, otimo, otimo, ruim, bom, otimo, bom, medio
declive, comercial, bom, nao, bom, ruim, otimo, asfalto, bom, otimo, bom, ruim, bom, otimo, ruim, otimo, otimo, alto
aclive, residencial, bom, sim, bom, ruim, otimo, poliedrico, bom, bom, bom, bom, ruim, bom, bom, otimo, bom, baixo
plano, terreno, mau, sim, bom, ruim, ruim, irregular, otimo, ruim, ruim, ruim, otimo, ruim, bom, otimo, bom, medio
aclive, residencial, bom, nao, bom, otimo, ruim, asfalto, ruim, ruim, otimo, ruim, otimo, ruim, otimo, bom, bom, alto
declive, terreno, otimo, nao, otimo, otimo, otimo, asfalto, otimo, otimo, bom, bom, ruim, ruim, otimo, bom, bom, baixo
declive, terreno, regular, sim, bom, otimo, ruim, asfalto, bom, otimo, ruim, otimo, bom, ruim, otimo, ruim, bom, medio
plano, comercial, bom, sim, bom, bom, otimo, irregular, ruim, bom, otimo, ruim, otimo, ruim, ruim, otimo, bom, medio
declive, terreno, mau, sim, bom, bom, ruim, irregular, bom, bom, bom, otimo, bom, otimo, otimo, otimo, otimo, alto
plano, comercial, mau, nao, bom, otimo, bom, asfalto, bom, ruim, ruim, ruim, bom, otimo, ruim, bom, bom, baixo
irregular, terreno, mau, sim, bom, ruim, bom, asfalto, bom, otimo, otimo, bom, otimo, otimo, ruim, bom, otimo, alto
irregular, residencial, regular, nao, bom, bom, ruim, asfalto, otimo, bom, bom, ruim, ruim, ruim, bom, ruim, bom, alto
declive, residencial, regular, nao, bom, bom, ruim, irregular, bom, bom, otimo, bom, ruim, otimo, bom, bom, bom, medio
plano, residencial, regular, sim, bom, bom, otimo, irregular, ruim, ruim, ruim, otimo, bom, otimo, bom, bom, bom, alto
aclive, comercial, regular, sim, bom, bom, ruim, irregular, bom, otimo, otimo, otimo, otimo, otimo, otimo, bom, otimo, alto
irregular, terreno, bom, nao, otimo, otimo, bom, asfalto, ruim, ruim, bom, otimo, bom, ruim, bom, otimo, otimo, medio
aclive, terreno, bom, nao, bom, bom, ruim, irregular, ruim, bom, bom, otimo, bom, bom, ruim, bom, bom, alto
irregular, residencial, bom, nao, bom, ruim, otimo, asfalto, ruim, otimo, bom, ruim, otimo, otimo, ruim, otimo, otimo, alto
aclive, residencial, bom, sim, bom, otimo, otimo, irregular, otimo, ruim, otimo, otimo, otimo, ruim, ruim, ruim, bom, medio
aclive, comercial, regular, nao, bom, bom, ruim, irregular, ruim, otimo, bom, bom, bom, bom, bom, bom, bom, alto
aclive, comercial, otimo, sim, bom, ruim, ruim, irregular, ruim, bom, bom, ruim, otimo, bom, bom, bom, bom, alto
plano, terreno, otimo, nao, bom, ruim, bom, asfalto, ruim, otimo, ruim, otimo, bom, otimo, ruim, ruim, bom, medio
irregular, comercial, mau, sim, otimo, otimo, ruim, asfalto, otimo, otimo, ruim, ruim, bom, otimo, ruim, otimo, otimo, alto
aclive, terreno, mau, nao, ruim, ruim, ruim, irregular, otimo, otimo, otimo, otimo, otimo, ruim, bom, ruim, bom, medio
plano, residencial, mau, nao, bom, otimo, otimo, irregular, bom, bom, bom, bom, ruim, ruim, otimo, bom, bom, baixo
aclive, terreno, regular, sim, bom, bom, bom, poliedrico, ruim, otimo, bom, bom, bom, ruim, otimo, bom, bom, baixo
plano, residencial, bom, nao, bom, otimo, bom, poliedrico, ruim, otimo, otimo, bom, ruim, ruim, bom, otimo, bom, alto
aclive, comercial, regular, nao, bom, bom, bom, irregular, bom, bom, ruim, bom, otimo, bom, bom, otimo, bom, baixo
plano, comercial, otimo, nao, bom, bom, otimo, asfalto, otimo, ruim, bom, ruim, bom, bom, ruim, bom, bom, baixo
plano, residencial, otimo, sim, otimo, otimo, ruim, asfalto, bom, otimo, ruim, ruim, bom, otimo, ruim, otimo, otimo, alto
irregular, residencial, bom, nao, bom, otimo, otimo, asfalto, bom, bom, ruim, ruim, ruim, otimo, bom, bom, bom, baixo
irregular, residencial, mau, sim, bom, ruim, bom, irregular, bom, ruim, otimo, otimo, ruim, otimo, ruim, ruim, bom, baixo
aclive, comercial, regular, sim, bom, otimo, ruim, asfalto, bom, otimo, ruim, bom, ruim, ruim, bom, ruim, otimo, alto
irregular, residencial, regular, sim, bom, ruim, otimo, poliedrico, otimo, bom, bom, ruim, ruim, otimo, otimo, bom, bom, medio
declive, comercial, otimo, sim, bom, otimo, otimo, poliedrico, ruim, ruim, ruim, otimo, otimo, ruim, ruim, otimo, bom, baixo
declive, comercial, bom, sim, otimo, otimo, otimo, asfalto, bom, ruim, bom, otimo, otimo, ruim, ruim, bom, otimo, alto
aclive, residencial, mau, sim, bom, ruim, otimo, poliedrico, otimo, ruim, ruim, otimo, bom, bom, otimo, bom, bom, medio
declive, residencial, bom, nao, bom, otimo, bom, irregular, bom, ruim, otimo, otimo, ruim, bom, otimo, bom, bom, baixo
plano, residencial, regular, sim, bom, ruim, ruim, poliedrico, otimo, otimo, otimo, bom, ruim, ruim, ruim, bom, bom, baixo
declive, terreno, otimo, sim, bom, ruim, bom, irregular, ruim, bom, ruim, ruim, bom, ruim, bom, bom, bom, baixo
irregular, terreno, mau, sim, bom, otimo, bom, irregular, ruim, bom, bom, bom, bom, bom, ruim, bom, bom, medio
aclive, terreno, bom, nao, bom, ruim, bom, poliedrico, ruim, bom, bom, otimo, ruim, ruim, otimo, ruim, bom, medio
declive, residencial, regular, nao, bom, otimo, ruim, asfalto, ruim, otimo, bom, ruim, bom, ruim, bom, bom, bom, baixo
declive, comercial, mau, nao, bom, otimo, otimo, irregular, bom, bom, otimo, otimo, ruim, otimo, otimo, bom, bom, alto
irregular, comercial, otimo, sim, otimo, ruim, ruim, irregular, bom, ruim, ruim, ruim, otimo, otimo, bom, otimo, otimo, alto
aclive, residencial, otimo, sim, bom, bom, bom, poliedrico, otimo, ruim, ruim, bom, otimo, bom, otimo, ruim, bom, baixo
plano, terreno, regular, nao, bom, ruim, bom, asfalto, ruim, bom, ruim, ruim, otimo, otimo, bom, ruim, bom, baixo
declive, terreno, otimo, sim, bom, ruim, bom, irregular, bom, ruim, bom, ruim, otimo, bom, ruim, otimo, otimo, alto
aclive, residencial, mau, sim, bom, ruim, ruim, asfalto, ruim, bom, otimo, ruim, bom, bom, otimo, otimo, bom, alto
plano, terreno, mau, sim, bom, bom, ruim, irregular, otimo, bom, ruim, ruim, ruim, ruim, bom, ruim, bom, baixo
irregular, comercial, mau, sim, bom, bom, otimo, irregular, otimo, otimo, bom, bom, bom, ruim, otimo, ruim, otimo, alto
plano, terreno, mau, nao, bom, otimo, bom, poliedrico, ruim, otimo, otimo, bom, bom, bom, otimo, ruim, bom, medio
declive, comercial, mau, nao, bom, ruim, ruim, poliedrico, ruim, bom, bom, ruim, ruim, ruim, bom, bom, bom, alto
declive, terreno, bom, sim, otimo, otimo, otimo, asfalto, otimo, bom, otimo, otimo, bom, otimo, otimo, ruim, otimo, medio
aclive, residencial, bom, sim, bom, ruim, bom, irregular, otimo, bom, otimo, ruim, bom, otimo, ruim, ruim, bom, alto
irregular, residencial, bom, nao, bom, bom, ruim, poliedrico, otimo, ruim, otimo, bom, bom, otimo, bom, otimo, bom, alto
aclive, terreno, mau, nao, bom, ruim, bom, poliedrico, otimo, bom, ruim, ruim, bom, ruim, bom, bom, bom, medio
irregular, comercial, bom, nao, bom, otimo, bom, poliedrico, otimo, otimo, otimo, otimo, otimo, bom, ruim, otimo, otimo, alto
aclive, comercial, bom, nao, bom, otimo, otimo, irregular, bom, otimo, bom, otimo, ruim, bom, bom, otimo, bom, baixo
irregular, residencial, mau, nao, otimo, bom, otimo, asfalto, otimo, ruim, otimo, otimo, ruim, otimo, otimo, otimo, otimo, alto
aclive, terreno, regular, nao, bom, bom, otimo, poliedrico, ruim, ruim, ruim, ruim, ruim, bom, otimo, bom, otimo, alto
plano, comercial, regular, sim, bom, otimo, ruim, asfalto, otimo, bom, otimo, otimo, bom, otimo, bom, bom, bom, medio
plano, terreno, bom, sim, bom, bom, ruim, poliedrico, otimo, bom, bom, bom, ruim, otimo, bom, ruim, bom, baixo
irregular, comercial, mau, nao, bom, ruim, ruim, asfalto, otimo, ruim, ruim, otimo, bom, ruim, ruim, bom, bom, medio
plano, comercial, mau, sim, bom, bom, bom, irregular, bom, otimo, bom, bom, otimo, bom, ruim, otimo, bom, medio
declive, residencial, bom, nao, bom, bom, otimo, poliedrico, otimo, otimo, otimo, otimo, bom, ruim, otimo, bom, bom, baixo
declive, terreno, mau, nao, bom, ruim, bom, irregular, ruim, bom, otimo, bom, ruim, otimo, otimo, bom, bom, medio
irregular, comercial, bom, sim, otimo, ruim, otimo, asfalto, ruim, otimo, otimo, bom, bom, otimo, otimo, bom, otimo, medio
irregular, residencial, mau, sim, bom, bom, ruim, asfalto, ruim, bom, bom, bom, bom, otimo, bom, ruim, bom, medio
aclive, residencial, regular, sim, bom, bom, otimo, poliedrico, bom, otimo, ruim, ruim, bom, otimo, ruim, ruim, bom, baixo
plano, terreno, mau, sim, bom, ruim, bom, poliedrico, bom, otimo, bom, otimo, ruim, otimo, otimo, ruim, bom, medio
declive, terreno, bom, nao, bom, ruim, otimo, asfalto, bom, otimo, ruim, otimo, bom, bom, otimo, ruim, otimo, alto
plano, terreno, mau, sim, bom, otimo, ruim, asfalto, bom, bom, ruim, ruim, otimo, otimo, otimo, bom, bom, baixo
plano, residencial, regular, nao, bom, otimo, bom, poliedrico, otimo, bom, otimo, bom, otimo, ruim, otimo, ruim, bom, baixo
declive, residencial, regular, sim, bom, ruim, ruim, asfalto, otimo, otimo, ruim, otimo, otimo, otimo, bom, ruim, bom, baixo
irregular, terreno, regular, nao, bom, ruim, bom, poliedrico, bom, bom, otimo, bom, bom, bom, otimo, bom, otimo, alto
aclive, comercial, mau, sim, bom, ruim, bom, asfalto, bom, otimo, otimo, bom, bom, bom, otimo, otimo, otimo, alto
declive, comercial, otimo, sim, otimo, bom, otimo, asfalto, otimo, otimo, otimo, ruim, ruim, otimo, bom, ruim, otimo, alto
declive, comercial, regular, nao, bom, otimo, bom, asfalto, bom, ruim, ruim, ruim, bom, ruim, bom, bom, bom, alto
declive, terreno, mau, nao, bom, bom, otimo, asfalto, otimo, ruim, bom, bom, bom, bom, otimo, bom, bom, baixo
declive, residencial, bom, nao, bom, bom, otimo, poliedrico, otimo, bom, ruim, otimo, ruim, ruim, bom, ruim, bom, medio
plano, comercial, bom, sim, bom, ruim, otimo, irregular, ruim, otimo, otimo, ruim, otimo, bom, bom, otimo, bom, baixo
aclive, comercial, mau, sim, bom, ruim, bom, poliedrico, ruim, ruim, otimo, otimo, bom, otimo, bom, otimo, bom, medio
irregular, residencial, otimo, nao, bom, otimo, bom, asfalto, ruim, ruim, ruim, ruim, otimo, bom, ruim, ruim, bom, alto
aclive, terreno, otimo, nao, bom, otimo, ruim, poliedrico, bom, otimo, otimo, bom, bom, bom, ruim, otimo, otimo, alto
irregular, residencial, regular, nao, bom, otimo, ruim, poliedrico, bom, ruim, bom, otimo, otimo, bom, bom, bom, bom, baixo
declive, residencial, otimo, sim, otimo, ruim, bom, asfalto, ruim, ruim, ruim, ruim, bom, ruim, otimo, bom, bom, alto
declive, terreno, regular, sim, bom, otimo, bom, asfalto, bom, bom, ruim, bom, otimo, otimo, otimo, ruim, bom, baixo
declive, terreno, bom, sim, bom, bom, otimo, irregular, ruim, ruim, bom, otimo, ruim, bom, bom, bom, bom, baixo
plano, comercial, bom, sim, bom, ruim, ruim, poliedrico, ruim, bom, otimo, otimo, otimo, ruim, ruim, otimo, otimo, alto
